m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
56,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Belgium,2020,52.169836155,%,E,false
56,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Belgium,2021,52.825742252,%,E,false
56,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Belgium,2022,52.825742252,%,E,false
84,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Belize,2020,1.260294485,%,E,false
84,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Belize,2021,1.260294485,%,E,false
84,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Belize,2022,1.260294485,%,E,false
204,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Benin,2020,0.975243811,%,E,false
204,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Benin,2021,0.975243811,%,E,false
204,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Benin,2022,0.975243811,%,E,false
64,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bhutan,2020,1.413807531,%,E,false
64,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bhutan,2021,1.413807531,%,E,false
64,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bhutan,2022,1.413807531,%,E,false
68,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bolivia (Plurinational State of),2020,0.207365543,%,E,false
68,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bolivia (Plurinational State of),2021,0.202979589,%,E,false
68,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bolivia (Plurinational State of),2022,0.202979589,%,E,false
70,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bosnia and Herzegovina,2020,2.000531208,%,E,false
70,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bosnia and Herzegovina,2021,2.03187251,%,E,false
70,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bosnia and Herzegovina,2022,2.071713147,%,E,false
72,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Botswana,2020,2.305004706,%,E,false
72,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Botswana,2021,2.442973031,%,E,false
72,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Botswana,2022,2.230009819,%,E,false
76,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Brazil,2020,1.47688177,%,E,false
76,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Brazil,2021,1.481946279,%,E,false
76,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Brazil,2022,1.495816821,%,E,false
96,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Brunei Darussalam,2020,3.466465712,%,E,false
96,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Brunei Darussalam,2021,3.466465712,%,E,false
96,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Brunei Darussalam,2022,3.466465712,%,E,false
100,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bulgaria,2020,36.728509129,%,E,false
100,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bulgaria,2021,38.52465075,%,E,false
100,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Bulgaria,2022,40.235300924,%,E,false
854,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Burkina Faso,2020,7.820267686,%,E,false
854,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Burkina Faso,2021,7.820267686,%,E,false
854,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Burkina Faso,2022,7.820267686,%,E,false
108,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Burundi,2020,10.19286754,%,E,false
108,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Burundi,2021,10.19286754,%,E,false
108,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Burundi,2022,10.19286754,%,E,false
132,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cabo Verde,2020,68.943736667,%,E,false
132,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cabo Verde,2021,57.177506667,%,E,false
132,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cabo Verde,2022,59.68371,%,E,false
116,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cambodia,2020,1.03654485,%,E,false
116,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cambodia,2021,1.03654485,%,E,false
116,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cambodia,2022,1.03654485,%,E,false
120,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cameroon,2020,1.560430107,%,E,false
120,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cameroon,2021,1.560430107,%,E,false
120,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cameroon,2022,1.560430107,%,E,false
124,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Canada,2020,3.733573635,%,E,false
124,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Canada,2021,3.720700309,%,E,false
124,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Canada,2022,3.720700309,%,E,false
140,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Central African Republic,2020,0.335648148,%,E,false
140,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Central African Republic,2021,0.335648148,%,E,false
140,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Central African Republic,2022,0.335648148,%,E,false
143,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Central Asia,2020,74.402771298,%,E,true
143,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Central Asia,2021,69.67652571,%,E,true
143,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Central Asia,2022,70.206729529,%,E,true
62,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Central and Southern Asia,2020,70.574456203,%,E,true
62,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Central and Southern Asia,2021,69.761307367,%,E,true
62,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Central and Southern Asia,2022,69.510381072,%,E,true
148,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Chad,2020,4.294921875,%,E,false
148,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Chad,2021,4.294921875,%,E,false
148,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Chad,2022,4.294921875,%,E,false
152,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Chile,2020,8.982121089,%,E,false
152,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Chile,2021,8.982121089,%,E,false
152,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Chile,2022,8.982121089,%,E,false
156,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,China,2020,41.518528797,%,E,false
156,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,China,2021,41.518528797,%,E,false
156,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,China,2022,41.518528797,%,E,false
170,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Colombia,2020,3.392555389,%,E,false
170,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Colombia,2021,3.52426497,%,E,false
170,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Colombia,2022,3.632281437,%,E,false
174,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Comoros,2020,0.833333333,%,I,false
174,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Comoros,2021,0.833333333,%,I,false
174,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Comoros,2022,0.833333333,%,I,false
178,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Congo,2020,0.027446301,%,E,false
178,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Congo,2021,0.027446301,%,E,false
178,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Congo,2022,0.027446301,%,E,false
188,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Costa Rica,2020,5.351672355,%,E,false
188,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Costa Rica,2021,5.881962457,%,E,false
188,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Costa Rica,2022,5.881962457,%,E,false
191,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Croatia,2020,1.462872388,%,E,false
191,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Croatia,2021,1.47843486,%,E,false
191,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Croatia,2022,1.509559804,%,E,false
192,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cuba,2020,23.939446069,%,E,false
192,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cuba,2021,23.939446069,%,E,false
192,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cuba,2022,23.939446069,%,E,false
196,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cyprus,2020,31.574630946,%,E,false
196,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cyprus,2021,32.121377802,%,E,false
196,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Cyprus,2022,30.481137234,%,E,false
203,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Czechia,2020,20.772506083,%,E,false
203,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Czechia,2021,20.513990268,%,E,false
203,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Czechia,2022,21.973844282,%,E,false
384,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Côte d'Ivoire,2020,5.087565674,%,E,false
384,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Côte d'Ivoire,2021,5.087565674,%,E,false
384,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Côte d'Ivoire,2022,5.087565674,%,E,false
408,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Democratic People's Republic of Korea,2020,27.740467799,%,E,false
408,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Democratic People's Republic of Korea,2021,27.740467799,%,E,false
408,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Democratic People's Republic of Korea,2022,27.740467799,%,E,false
180,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Democratic Republic of the Congo,2020,0.226883505,%,E,false
180,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Democratic Republic of the Congo,2021,0.226883505,%,E,false
180,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Democratic Republic of the Congo,2022,0.226883505,%,E,false
208,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Denmark,2020,25.615927528,%,E,false
208,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Denmark,2021,25.937398594,%,E,false
208,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Denmark,2022,25.266360195,%,E,false
262,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Djibouti,2020,6.333333333,%,I,false
262,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Djibouti,2021,6.333333333,%,I,false
262,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Djibouti,2022,6.333333333,%,I,false
212,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Dominica,2020,10,%,I,false
212,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Dominica,2021,10,%,I,false
212,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Dominica,2022,10,%,I,false
214,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Dominican Republic,2020,39.553314121,%,E,false
214,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Dominican Republic,2021,39.553314121,%,E,false
214,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Dominican Republic,2022,39.553314121,%,E,false
30,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eastern Asia,2020,44.145050767,%,E,true
30,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eastern Asia,2021,44.145050767,%,E,true
30,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eastern Asia,2022,44.145050767,%,E,true
753,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eastern and South-Eastern Asia,2020,30.431115283,%,E,true
753,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eastern and South-Eastern Asia,2021,30.466327564,%,E,true
753,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eastern and South-Eastern Asia,2022,30.51470262,%,E,true
218,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ecuador,2020,6.782352941,%,E,false
218,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ecuador,2021,6.782352941,%,E,false
218,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ecuador,2022,6.782352941,%,E,false
818,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Egypt,2020,141.16575592,%,E,false
818,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Egypt,2021,141.16575592,%,E,false
818,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Egypt,2022,141.16575592,%,E,false
222,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,El Salvador,2020,12.224813677,%,E,false
222,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,El Salvador,2021,12.158952846,%,E,false
222,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,El Salvador,2022,12.093092015,%,E,false
226,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Equatorial Guinea,2020,0.183503244,%,E,false
226,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Equatorial Guinea,2021,0.183503244,%,E,false
226,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Equatorial Guinea,2022,0.183503244,%,E,false
232,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eritrea,2020,11.175115207,%,E,false
232,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eritrea,2021,11.175115207,%,E,false
232,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eritrea,2022,11.175115207,%,E,false
233,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Estonia,2020,9.231085498,%,E,false
233,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Estonia,2021,10.819801331,%,E,false
233,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Estonia,2022,13.046285195,%,E,false
748,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eswatini,2020,77.559912854,%,E,false
748,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eswatini,2021,77.559912854,%,E,false
748,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Eswatini,2022,77.559912854,%,E,false
231,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ethiopia,2020,32.257186544,%,E,false
231,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ethiopia,2021,32.257186544,%,E,false
231,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ethiopia,2022,32.257186544,%,E,false
150,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Europe,2020,8.329502859,%,E,true
150,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Europe,2021,8.33856019,%,E,true
150,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Europe,2022,8.275784035,%,E,true
513,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Europe and Northern America,2020,12.318073705,%,E,true
513,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Europe and Northern America,2021,12.321026644,%,E,true
513,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Europe and Northern America,2022,12.286589736,%,E,true
242,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Fiji,2020,0.29737303,%,I,false
242,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Fiji,2021,0.29737303,%,I,false
242,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Fiji,2022,0.29737303,%,I,false
246,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Finland,2020,7.114062129,%,E,false
246,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Finland,2021,7.114062129,%,E,false
246,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Finland,2022,7.114062129,%,E,false
250,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,France,2020,21.598137074,%,E,false
250,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,France,2021,21.384627156,%,E,false
250,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,France,2022,21.384627156,%,E,false
266,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Gabon,2020,0.502166065,%,E,false
266,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Gabon,2021,0.502166065,%,E,false
266,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Gabon,2022,0.502166065,%,E,false
270,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Gambia,2020,2.209656372,%,E,false
270,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Gambia,2021,2.209656372,%,E,false
270,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Gambia,2022,2.209656372,%,E,false
268,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Georgia,2020,5.386710098,%,E,false
268,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Georgia,2021,5.240977199,%,E,false
268,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Georgia,2022,4.212964169,%,E,false
276,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Germany,2020,35.351657072,%,E,false
276,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Germany,2021,35.351657072,%,E,false
276,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Germany,2022,35.351657072,%,E,false
288,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ghana,2020,6.314734089,%,E,false
288,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ghana,2021,6.314734089,%,E,false
288,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ghana,2022,6.314734089,%,E,false
300,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Greece,2020,20.477442849,%,E,false
300,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Greece,2021,20.406635646,%,E,false
300,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Greece,2022,20.32571313,%,E,false
308,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Grenada,2020,7.05,%,I,false
308,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Grenada,2021,7.05,%,I,false
308,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Grenada,2022,7.05,%,I,false
320,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guatemala,2020,5.742097081,%,E,false
320,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guatemala,2021,5.742097081,%,E,false
320,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guatemala,2022,5.742097081,%,E,false
324,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guinea,2020,1.369230769,%,E,false
324,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guinea,2021,1.369230769,%,E,false
324,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guinea,2022,1.369230769,%,E,false
624,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guinea-Bissau,2020,1.495726496,%,E,false
624,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guinea-Bissau,2021,1.495726496,%,E,false
624,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guinea-Bissau,2022,1.495726496,%,E,false
328,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guyana,2020,3.298401827,%,E,false
328,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guyana,2021,3.298401827,%,E,false
328,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Guyana,2022,3.298401827,%,E,false
332,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Haiti,2020,13.383791767,%,E,false
332,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Haiti,2021,13.383791767,%,E,false
332,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Haiti,2022,13.383791767,%,E,false
340,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Honduras,2020,4.621268764,%,E,false
340,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Honduras,2021,4.621268764,%,E,false
340,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Honduras,2022,4.621268764,%,E,false
348,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Hungary,2020,7.739896373,%,E,false
348,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Hungary,2021,7.718307427,%,E,false
348,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Hungary,2022,8.108497409,%,E,false
352,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Iceland,2020,0.394075282,%,E,false
352,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Iceland,2021,0.394075282,%,E,false
352,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Iceland,2022,0.394075282,%,E,false
356,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,India,2020,66.492092832,%,E,false
356,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,India,2021,66.492092832,%,E,false
356,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,India,2022,66.492092832,%,E,false
360,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Indonesia,2020,29.696545285,%,E,false
360,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Indonesia,2021,29.696545285,%,E,false
360,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Indonesia,2022,29.696545285,%,E,false
364,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Iran (Islamic Republic of),2020,81.289081289,%,E,false
364,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Iran (Islamic Republic of),2021,81.289081289,%,E,false
364,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Iran (Islamic Republic of),2022,81.289081289,%,E,false
368,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Iraq,2020,63.258426966,%,E,false
368,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Iraq,2021,59.583848315,%,E,false
368,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Iraq,2022,59.583848315,%,E,false
372,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ireland,2020,7.430221367,%,E,false
372,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ireland,2021,7.60827719,%,E,false
372,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Ireland,2022,8.051010587,%,E,false
376,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Israel,2020,110.085411095,%,E,false
376,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Israel,2021,131.998964714,%,E,false
376,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Israel,2022,129.669571219,%,E,false
380,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Italy,2020,29.798220108,%,E,false
380,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Italy,2021,29.739289805,%,E,false
380,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Italy,2022,29.767380386,%,E,false
388,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Jamaica,2020,11.046430785,%,E,false
388,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Jamaica,2021,12.382818879,%,E,false
388,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Jamaica,2022,12.382818879,%,E,false
392,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Japan,2020,36.643678161,%,E,false
392,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Japan,2021,36.643678161,%,E,false
392,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Japan,2022,36.643678161,%,E,false
400,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Jordan,2020,106.049396389,%,E,false
400,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Jordan,2021,102.51633625,%,E,false
400,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Jordan,2022,105.202126481,%,E,false
398,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kazakhstan,2020,34.098474341,%,E,false
398,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kazakhstan,2021,34.004160888,%,E,false
398,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kazakhstan,2022,34.626907073,%,E,false
404,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kenya,2020,33.239901072,%,E,false
404,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kenya,2021,33.239901072,%,E,false
404,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kenya,2022,33.239901072,%,E,false
414,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kuwait,2020,3850.5,%,E,false
414,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kuwait,2021,3850.5,%,E,false
414,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kuwait,2022,3850.5,%,E,false
417,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kyrgyzstan,2020,50.03895598,%,E,false
417,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kyrgyzstan,2021,50.03895598,%,E,false
417,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Kyrgyzstan,2022,50.03895598,%,E,false
432,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Land Locked Developing Countries,2020,14.979713201,%,E,true
432,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Land Locked Developing Countries,2021,14.510580592,%,E,true
432,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Land Locked Developing Countries,2022,14.625247655,%,E,true
418,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Lao People's Democratic Republic,2020,4.791395046,%,E,false
418,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Lao People's Democratic Republic,2021,4.791395046,%,E,false
418,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Lao People's Democratic Republic,2022,4.791395046,%,E,false
419,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Latin America and the Caribbean,2020,5.885975351,%,E,true
419,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Latin America and the Caribbean,2021,5.692132608,%,E,true
419,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Latin America and the Caribbean,2022,5.734901902,%,E,true
428,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Latvia,2020,1.067831467,%,E,false
428,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Latvia,2021,1.086918091,%,E,false
428,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Latvia,2022,1.015521509,%,E,false
199,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Least Developed Countries,2020,7.062182815,%,E,true
199,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Least Developed Countries,2021,7.062182815,%,E,true
199,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Least Developed Countries,2022,7.062182815,%,E,true
422,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Lebanon,2020,58.792991564,%,E,false
422,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Lebanon,2021,58.792991564,%,E,false
422,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Lebanon,2022,58.792991564,%,E,false
426,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Lesotho,2020,2.565905097,%,E,false
426,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Lesotho,2021,2.565905097,%,E,false
426,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Lesotho,2022,2.565905097,%,E,false
430,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Liberia,2020,0.264311594,%,E,false
430,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Liberia,2021,0.264311594,%,E,false
